Code,Label,Description,Units
KHAE-DAP-1,Developmentally Appropriate First Grade Practice,"Joyful, strengths-based, active learning with explicit instruction, practice, play, talk, movement, and reflection.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
KHAE-ELA-1,Grade 1 English Language Arts,"Foundational skills, phonics, fluency, literature, informational text, writing, language, speaking, and listening.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
KHAE-MATH-1,Grade 1 Mathematics,"Addition/subtraction, place value, measurement, data, geometry, time, fractions as equal shares, reasoning, and problem solving.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
KHAE-SCI-1,Grade 1 Science and Engineering,"Light, sound, plants, animals, weather, Earth materials, patterns, design, observation, evidence, and safe investigations.","3, 5, 6, 9, 11, 12, 14, 15, 18, 20, 21, 22, 24, 26, 27, 30, 33, 36"
KHAE-SS-1,Grade 1 Social Studies and Civics,"Families, communities, maps, culture, time, civic symbols, service, economics, goods/services, responsibilities, and history.","1, 3, 4, 8, 12, 16, 17, 20, 24, 25, 28, 29, 32, 36"
KHAE-SEL-1,Social-Emotional Learning,"Self-awareness, self-management, social awareness, relationship skills, responsible decision-making, confidence, repair, and persistence.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
KHAE-ART-1,"Arts, Music, Drama, and Creative Expression","Creating, performing/presenting, responding, connecting, rhythm, visual design, storytelling, movement, critique, and portfolios.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
KHAE-PEH-1,"Health, Movement, and Physical Development","Fine/gross motor, balance, coordination, safe movement, nutrition, hygiene, rest, health choices, and body confidence.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
KHAE-TECH-1,"Tools, Technology, and Unplugged Computing","Safe tool use, digital citizenship, sequence, algorithms, debugging, creative communication, and computational thinking.",33
KHAE-PORT-1,"Portfolio, Assessment, and Communication","Weekly evidence, performance checks, midterm, final, self-reflection, family communication, and teacher documentation.","1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32, 33, 34, 35, 36"
