Week,Theme,Language Arts,Mathematics,Science,Social Studies,Arts & Music,"Health, PE & SEL",Technology & Tools,Integrated Projects
1,Scholar Routines and Reading Stamina,reading stamina and complete sentences,number habits and strategy talk,scientist tools and observations,classroom community and maps,"line, rhythm, and response","routines, safety, and feelings",tool care and offline safety,second-grade identity portfolio
2,"Long Vowels, Number Fluency, and Careful Observation",long vowels and vowel teams,numbers to 100 and ten-frames,properties of matter observation,"families, culture, and traditions","color, pattern, and song form",friendship and cooperation,sequence steps and algorithms,family story and data board
3,"Narratives, Place Value, and Matter",personal narrative sequence,"place value to 1,000 introduction","matter: solids, liquids, and properties","past, present, and timelines",story illustration and sound effects,emotions and repair language,debug a daily routine,timeline story booklet
4,Addition Within 100,math story language,two-digit addition strategies,materials and design tests,"goods, services, needs, wants",build-and-draw design plan,persistence and mistakes,input/output directions,classroom market design
5,Subtraction Within 100,decodable multisyllable words,two-digit subtraction strategies,changes in materials,community helpers and responsibility,movement phrase and beat patterns,safe movement and balance,unplugged code path,helper interview card
6,Informational Text and Measurement,main topic and key details,standard units of length,plant needs and observations,neighborhood maps and symbols,scientific drawing and labels,healthy habits and hygiene,digital citizenship: kind communication,plant observation portfolio
7,Plant Life Cycles and Data,research captions and glossary words,data tables and picture graphs,plant life cycles,"food, farms, and communities",nature prints and rhythm,nutrition and choices,organize files and folders conceptually,garden data report
8,"Fables, Folktales, and Word Problems","fables, morals, and retelling",one-step word problems,animal needs and habitats,world stories and geography,puppet theatre and music cues,empathy and perspective,storyboard sequence,folktale performance
9,Animal Structures and Arrays,compare characters and themes,skip counting and arrays,animal structures and survival,landforms and water on maps,"texture, shape, and movement",body systems basics,patterns in code and nature,animal adaptation poster
10,Opinion Writing and Money,opinion paragraphs with reasons,"coins, dollars, and totals",engineering design process,civic choices and classroom voting,poster design and critique,responsible decision-making,survey and data display,class vote policy poster
11,Time and Schedules,sequence words and cause/effect,time to five minutes,sunlight and shadows,daily life across communities,shadow theatre,time management,calendar and reminder logic,schedule planning project
12,Earth Materials and Maps,text features and glossary,measurement and comparison,"rocks, soil, sand, and water","maps, regions, and resources",landscape art and song,outdoor safety,map symbols and simple coordinates,local landform map
13,"Poetry, Fractions, and Rhythm","poetry, rhythm, and imagery","halves, thirds, and fourths",sound and vibration,culture through songs and poems,poetry performance,calm breathing and voice,audio safety and media choices,poetry gallery
14,Geometry and Design,"prefixes, suffixes, and descriptive language",2D/3D shapes and attributes,structure and stability,architecture in communities,shape composition and sculpture,team roles,design loop and iteration,shape city museum
15,Weather and Seasonal Patterns,informational paragraphs,weather data graphs,"weather, water, and seasons",weather effects on communities,weather symbols and soundscape,weather safety,data charts offline,weather station report
16,Research Skills and Sources,questioning and note-taking,multi-step measurement problems,local environment investigation,history from artifacts,museum labels and exhibit design,respectful questions,source sorting and privacy,mini museum exhibit
17,Midyear Review,"review reading, writing, phonics, and language",operations/place value/measurement review,science review lab,social studies review inquiry,portfolio art curation,goal reflection,keyboard/mouse/tool review,midyear portfolio conference
18,Midyear Demonstration,midyear reading/writing demonstration,midyear mathematics demonstration,midyear science evidence,midyear civic/geography evidence,midterm creative performance,midterm movement/SEL check,midterm technology habits,midterm showcase
19,"Reading Fluency and Numbers to 1,000","fluency, phrasing, and expression","read/write/compare numbers to 1,000",matter and measurement review,communities change over time,rhythmic reading,confidence and stamina,typing readiness and naming files,fluency recording plan
20,"Author Study and Addition to 1,000",author craft and series study,"addition to 1,000 with models",ecosystems and plant/animal relationships,biographies and contributions,illustration style study,healthy friendships,digital note cards,author study poster
21,"Subtraction to 1,000",summarizing and questioning,"subtraction to 1,000 with regrouping concepts",earth changes: slow and fast,human-environment interaction,movement maps,stress tools and breaks,debugging steps,earth-change safety poster
22,Informational Writing Lab,"topic, facts, definitions, and conclusion",bar graphs and line plots,water and land forms,community resources and economics,diagram and infographic design,nutrition and rest,organize information visually,informational mini-book
23,"Forces, Motion, and Fair Tests",verbs and precise language,measurement and motion data,"pushes, pulls, motion, and fair tests",transportation and trade,kinetic sculpture,safe body mechanics,conditional directions,ramp investigation report
24,Telling Time and Calendars,procedural writing,elapsed time beginnings and calendar math,sky patterns and observations,"holidays, calendars, and history",calendar art and songs,planning routines,event sequencing,calendar museum
25,"Character, Citizenship, and Persuasion","opinion, reason, and evidence",multi-step word problems,materials for a purpose,"citizenship, rights, and responsibilities",public art and voice,fairness and kindness,safe search habits offline model,class service proposal
26,Fractions and Fair Sharing,compare texts on the same topic,equal shares and partitioning,food webs and resource sharing,scarcity and sharing,collage and symmetry,fair play,algorithm for fair sharing,fraction picnic design
27,Advanced Phonics and Spelling Patterns,"vowel teams, r-controlled vowels, and endings",mental math strategies,patterns in living things,traditions and cultural comparison,music patterns and verse,self-management,pattern recognition,word-pattern field guide
28,"Measurement, Area Foundations, and Perimeter",compound words and domain vocabulary,area foundations and perimeter introduction,habitat measurement maps,city planning basics,floor plan and mural design,movement pathways,grid maps,habitat floor plan
29,"Government, Laws, and Problem Solving",persuasive writing for community problem solving,multi-step civic math,engineering civic solutions,"rules, laws, leaders, and service",public service poster,leadership and listening,digital responsibility pledge,class constitution
30,Habitats and Environmental Stewardship,research vocabulary and captions,data and comparison review,habitats and stewardship,local community service,recycled art and song,health of shared spaces,file naming and organization,habitat restoration model
31,Literature Circles and Theater,dialogue and drama,math games and strategy,sound/light design for theatre,stories from many communities,theatre production,team collaboration,presentation tools offline,reader theatre
32,Economics and Entrepreneurship,persuasive ads and ethical messages,"money, budgets, and totals",materials and product testing,"producers, consumers, and choices",logo and jingle design,ethical choices,design a simple product card,student market booth
33,"Technology, Coding, and Communication",how-to writing and sequence language,coordinate grids and directions,robot/instrument tests,communication across time,media arts storyboard,screen balance,algorithms and loops,unplugged coding maze
34,Research Project Workshop,research drafting and revision,math model for project data,student-chosen inquiry,source-to-claim civic inquiry,visual presentation design,presentation confidence,digital citizenship review,big question project
35,Second Grade Capstone,portfolio writing and presentation,capstone math defense,capstone science evidence,community action project,capstone performance/exhibit,wellness reflection,tool-use reflection,capstone exhibition
36,Final Review and Celebration,"final reading, writing, and speaking review",final math review,final science review,final social studies review,final arts portfolio,grade 3 readiness habits,final technology review,grade 3 readiness portfolio
