Week,Title,Lens,Essential Question,Theme,Standards
1,Third Grade Scholar Launch,Launch,How do strong third-grade scholars learn with independence and evidence?,"Baseline routines, reading stamina, math fluency, inquiry notebooks, collaboration, and portfolio setup",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
2,Text Evidence and Place Value,Evidence,How do evidence and structure help us explain clearly?,"Explicit text evidence, place value to thousands, map grids, community identity, and notebook organization",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
3,"Characters, Traits, and Multiplication Arrays",Patterns,"How do patterns reveal character, number, and living systems?","Character analysis, trait evidence, equal groups, arrays, life-cycle introductions, and visual design",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
4,Informational Text and Area Models,Structure,How do readers and mathematicians build meaning from parts?,"Main idea, details, multiplication area models, forces, push/pull tests, and community systems",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
5,Opinion Writing and Civic Voice,Civics,"How can a voice be strong, fair, and supported by evidence?","Opinion essays, reasons/evidence, multiplication facts, classroom constitution, voting, and debate",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
6,Division and Fair Sharing,Division,How do we divide fairly and explain our process?,"Division stories, equal shares, fact families, procedural writing, cooperation, and fair exchange",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
7,"Forces, Motion, and Technical Reading",Forces,How can diagrams and data explain motion?,"Technical text, diagrams, motion investigations, data tables, line plots, and engineering sketches",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
8,"Culture, Folktales, and Multiplication Fluency",Stories,How do stories carry wisdom across communities?,"Folktales, central message, culture, multiplication fluency, patterns in music, and maps",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
9,"Weather, Climate, and Data",Weather,How can data help us understand weather and climate?,"Weather data, climate patterns, graphing, informational writing, measurement, and seasonal safety",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
10,Multi-Step Word Problems,Problem Solving,How do we solve complex problems without getting lost?,"Two-step problems, close reading in math, unknowns, bar models, perseverance, and explanation",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
11,"Prefixes, Suffixes, and Morphology",Morphology,How do word parts unlock meaning?,"Word parts, vocabulary, spelling generalizations, roots, fact fluency, and academic language",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
12,Communities Then and Now,History,How do communities change over time?,"Local history, timelines, sources, narrative writing, measurement, and community change",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
13,Life Cycles and Research Notes,Life Science,How do living things grow and change?,"Life cycles, animal groups, research notes, diagrams, paragraph writing, and source sorting",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
14,"Traits, Variation, and Data Displays",Traits,Why are living things alike and different?,"Inherited/acquired traits, variation, bar graphs, explanatory writing, and evidence",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
15,Fractions as Numbers,Fractions,How can fractions be numbers on a line?,"Unit fractions, number lines, equal parts, vocabulary precision, and real-world models",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
16,Equivalent Fractions and Visual Models,Equivalence,How can different fractions name the same amount?,"Equivalent fractions, area models, comparison, explanation, symmetry, and design critique",KHAE-ELA-3; KHAE-MATH-3; KHAE-SCI-3; KHAE-SS-3; KHAE-ART-3; KHAE-PEH-3; KHAE-TECH-3; KHAE-IP-3; KHAE-PORT-3
